hal_title,year,hal_id,booktitle,core_title,Acronym,Source,Rank,Primary FoR,distance,method
Monte-Carlo Graph Search: the Value of Merging Similar States,2020,hal-03004124,ACML 2020 - 12th Asian Conference on Machine Learning,Asian Conference on Machine Learning,ACML,CORE2021,Unranked,4611,,token
Dynamic compartmental models for large multi-objective landscapes and performance estimation,2020,hal-02920043,EvoCOP 2020 - 20th European Conference on Evolutionary Computation in Combinatorial Optimisation,European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,CORE2021,B,4602,,token
Home Chemotherapy Planning: An Integrated Production Scheduling and Multi-Trip Vehicle Routing Problem,2019,hal-02317439,VeRoLog 2019 - Workshop of the EURO Working Group on Vehicle Routing and Logistics optimization,European Conference on Operations Research,EURO,CORE2021,C,4602,,token
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,Euromicro Conference on Real-Time Systems,ECRTS,CORE2021,A,4606,37,score
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,European Academy of Design conferences,EAD,ERA2010,C,1203,37,score
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,European Conference on Operations Research,EURO,CORE2021,C,4602,37,score
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,Hydrology and Water Resources Symposium,,ERA2010,B, 905,37,score
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,Information Visualisation Theory and Practice,InfVis,CORE2021,C,4608,37,score
Motion anticipation in the retina,2019,hal-02316888,NeuroSTIC 2019 - 7e \'edition des journ\'ees NeuroSTIC,International IEEE Security in Storage Workshop,SISW,CORE2018,C, 803,37,score
M\'ethodes de Fusion de Cartes de Caract\'eristiques pour la D\'etection Multispectrale par R\'eseaux de Neurones Profonds,2020,hal-02872123,"RFIAP 2020 - Reconnaissance des Formes, Image, Apprentissage et Perception",IFIP TC13 Conference on Human-Computer Interaction,Interact,CORE2021,B,4608,47,score
Compressed cache layout aware prefetching,2019,hal-02316773,SBAC-PAD 2019 - International Symposium on Computer Architecture and High Performance Computing,International Symposium on Computer Architecture and High Performance Computing,SBACPAD,CORE2021,B,4606,15,score
D\'eveloppement d'un lexique morphologique et syntaxique de l'ancien fran\c cais,2019,hal-02148701,26\`eme Conf\'erence sur le Traitement Automatique des Langues Naturelles (TALN),Traitement Automatique des Langues Naturelles,TALN,ERA2010,C, 802,,token
Drone audition for search and rescue: Datasets and challenges,2020,hal-03430293,QUIET DRONES International Symposium on UAV/UAS Noise,IEEE International Symposium on Artificial Life,IEEE Alife,CORE2021,C,4602,21,score
Drone audition for search and rescue: Datasets and challenges,2020,hal-03430293,QUIET DRONES International Symposium on UAV/UAS Noise,IEEE International Symposium on Multimedia,ISM,CORE2021,C,4603,21,score
"Revisiter l'Attachement Pr\'ef\'erentiel, et ses applications aux R\'eseaux Sociaux",2020,hal-02872772,ALGOTEL 2020 -- 22\`emes Rencontres Francophones sur les Aspects Algorithmiques des T\'el\'ecommunications,,,,,,,
Coefficient de Clustering d'int\'er\^et : une nouvelle m\'etrique pour les graphes dirig\'es comme Twitter,2020,hal-02872779,ALGOTEL 2020 -- 22\`emes Rencontres Francophones sur les Aspects Algorithmiques des T\'el\'ecommunications,,,,,,,
Decomposition approaches for two-stage robust binary optimization,2019,hal-02407421,ICSP2019 - XV International Conference on Stochastic Programming,International Conference on Logic Programming,ICLP,CORE2021,A,4613,20,score
On fixed-time parameter estimation under interval excitation,2020,hal-02634489,ECC 2020 - 18th European Control Conference,European Computing Conference,ECC,CORE2018,C,   8,,token
On fixed-time parameter estimation under interval excitation,2020,hal-02634489,ECC 2020 - 18th European Control Conference,Workshop on Elliptic Curve Cryptography,ECC,CORE2018,C, 804,,token
Optimality Conditions for Discrete-Time Markov Decision Processes,2019,hal-03830668,SIAM Conference on Control and its Applications,ACM Conference on Economics and Computation,EC,CORE2021,A,4602,19,score
Optimality Conditions for Discrete-Time Markov Decision Processes,2019,hal-03830668,SIAM Conference on Control and its Applications,SIAM Conference on Optimization,OP,CORE2021,C,4602,19,score
A metaworld: metastability in metacommunities,2018,hal-02785238,MARAMI 2018 Mod\`eles \& Analyse des R\'eseaux : Approches Math\'ematiques \& Informatiques,,,,,,,
Optimisation du co\^ut de d\'eploiement de services r\'eseau virtualis\'es dans le cloud,2020,hal-02874121,"CORES 2020 -- 5\`eme Rencontres Francophones sur la Conception de Protocoles, l'\'Evaluation de Performance et l'Exp\'erimentation des R\'eseaux de Communication",,,,,,,
Security Analysis of Subject Access Request Procedures How to authenticate data subjects safely when they request for their data,2019,hal-02072302,APF 2019 - Annual Privacy Forum,AIChE Annual Meeting,,ERA2010,C,   9,21,score
Security Analysis of Subject Access Request Procedures How to authenticate data subjects safely when they request for their data,2019,hal-02072302,APF 2019 - Annual Privacy Forum,Annual PKI R&D Workshop,PKI,CORE2018,C, 803,21,score
Security Analysis of Subject Access Request Procedures How to authenticate data subjects safely when they request for their data,2019,hal-02072302,APF 2019 - Annual Privacy Forum,Annual PPIG Workshop,PPIG,CORE2018,B, 806,21,score
Security Analysis of Subject Access Request Procedures How to authenticate data subjects safely when they request for their data,2019,hal-02072302,APF 2019 - Annual Privacy Forum,ChinaGrid Annual Conference,ChinaGrid,ERA2010,C, 805,21,score
Security Analysis of Subject Access Request Procedures How to authenticate data subjects safely when they request for their data,2019,hal-02072302,APF 2019 - Annual Privacy Forum,Static Analysis Symposium,SAS,CORE2021,B,4612,21,score
People management framework using a 2D camera for human-robot social interactions,2019,hal-02318916,RoboCup 2019 - 23rd Annual RoboCup International Symposium,Robot Soccer World Cup,RoboCup,CORE2021,B,4602,,token
Establishing a New State-of-the-Art for French Named Entity Recognition,2020,hal-02617950,LREC 2020 - 12th Language Resources and Evaluation Conference,Language Resources and Evaluation Conference,LREC,CORE2021,C,4602,,token
On the security of a Loidreau's rank metric code based encryption scheme,2019,hal-02064465,WCC 2019 - The Eleventh International Workshop on Coding and Cryptography,International Workshop on Coding and Cryptography,WCC,CORE2020,B,4604,,token
On the security of a Loidreau's rank metric code based encryption scheme,2019,hal-02064465,WCC 2019 - The Eleventh International Workshop on Coding and Cryptography,World Computer Congress,WCC,CORE2018,C,   8,,token
Is affine invariance well defined on SPD matrices? A principled continuum of metrics,2019,hal-02147020,GSI 2019  - 4th conference on Geometric Science of Information,The Conference on visualization of information,SEE,CORE2018,C, 801,27,score
Thermodynamical Fluxes for the Modeling of Cardiac Mitochondrial Calcium Handling,2019,hal-02299233,CinC 2019 - Computing In Cardiology 2019,Computers in Cardiology,,ERA2010,A, 903,19,score
Gracefully Degrading Gathering in Dynamic Rings,2018,hal-03347044,"Stabilization, Safety, and Security of Distributed Systems - 20th International Symposium, SSS 2018","Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,CORE2021,C,4604,,token
A hybrid high-order method for flow simulations in discrete fracture networks.,2019,hal-02315491,ENUMATH - European Numerical Mathematics and Advanced Applications Conference 2019,Smart Card Research and Advanced Application Conference,CARDIS,CORE2021,B,4604,36,score
Statistical subspace based damage localization on Saint-Nazaire Bridge mock-up,2019,hal-02143530,IOMAC 2019 - 8th International Operational Modal Analysis Conference,International Conference Formal Concept Analysis Conference,ICFCA,CORE2021,C,4613,33,score
New Approaches For Augmented UHF RFID Textile Yarn,2019,hal-02308051,RFID-TA,Indoor Air,IA,ERA2010,A,1202,9,score
New Approaches For Augmented UHF RFID Textile Yarn,2019,hal-02308051,RFID-TA,Mobile Media,MMC,ERA2010,B,1203,9,score
New Approaches For Augmented UHF RFID Textile Yarn,2019,hal-02308051,RFID-TA,PACES & ICIL,PI,CORE2018,C,,9,score
Group Membership Verification with Privacy: Sparse or Dense?,2019,hal-02489991,WIFS 2019 - IEEE International Workshop on Information Forensics and Security,International Symposium on Information Assurance and Security,IAS,CORE2021,C,4604,32,score
Group Membership Verification with Privacy: Sparse or Dense?,2019,hal-02489991,WIFS 2019 - IEEE International Workshop on Information Forensics and Security,International Workshop on Visualization for Cyber Security,VizSec,CORE2021,C,4604,32,score
Joint CNN and Variational Model for Fully-automatic Image Colorization,2019,hal-02059820,SSVM 2019 - Seventh International Conference on Scale Space and Variational Methods in Computer Vision,IEEE International Conference on e-Science and Grid Computing,eScience,CORE2021,B,4606,50,score
New methods for $\ell_2-\ell_0$ minimization and their applications to 2D Single-Molecule Localization Microscopy,2019,hal-02107577,ISBI 2019 - IEEE International Symposium on Biomedical Imaging,IEEE International Symposium on Biomedical Imaging,,ERA2010,A, 903,11,score
Explorateur ou Routinier: Quel est votre profile de mobilit\'e?,2020,hal-02868049,ALGOTEL 2020 -- 22\`emes Rencontres Francophones sur les Aspects Algorithmiques des T\'el\'ecommunications,,,,,,,
Event-triggered Data-efficient Observers of Perturbed Systems,2020,hal-02634571,IFAC 2020 - 21rst IFAC World Congress,International Federation of Automatic Control World Congress,IFAC,CORE2018,C,,,token
Oceanic Dynamics under Location Uncertainty: Towards a consistent stochastic modeling,2019,hal-02708028,"Workshop Conservation Principles, Data and Uncertainty in Atmosphere-Ocean Modelling","Mini-EURO Conference, Managing Uncertainty in Decision Support Models",,ERA2010,A,   9,47,score
R\'eification des acc\'el\'erations pour la construction de Karp et Miller,2019,hal-02319755,MSR 2019 - 12\`eme Colloque sur la Mod\'elisation des Syst\`emes R\'eactifs,IEEE International Working Conference on Mining Software Repositories,MSR,CORE2021,A,4612,,token
Instance Optimal Decoding and the Restricted Isometry Property,2018,hal-01718411,8th International Conference on New Computational Methods for Inverse Problems (NCMIP),International Conference on Computational Semiotics for Games and New Media,Cosign,CORE2018,C, 801,31,score
Towards Learning-Aided Configuration in 3D Printing: Feasibility Study and Application to Defect Prediction,2019,hal-01990767,VAMOS 2019 - 13th International Workshop on Variability Modelling of Software-Intensive Systems,International Workshop on Formal Methods for interactive Systems,FMIS,CORE2021,C,4612,44,score
Towards Learning-Aided Configuration in 3D Printing: Feasibility Study and Application to Defect Prediction,2019,hal-01990767,VAMOS 2019 - 13th International Workshop on Variability Modelling of Software-Intensive Systems,International Workshop on Modelling in Software Engineering,MISE,CORE2021,C,4612,44,score
V\'erification de programmes OCaml fortement imp\'eratifs avec Why3,2018,hal-01649989,JFLA 2018 - Journ\'ees Francophones des Langages Applicatifs,"Language Descriptions, Tools and Applications",LDTA,CORE2018,B, 803,36,score
Compile-Time Silent-Store Elimination for Energy Efficiency: an Analytic Evaluation for Non-Volatile Cache Memory,2018,hal-01660686,RAPIDO: Rapid Simulation and Performance Evaluation,GeoVisualization and Information Visualization,GeoViz,CORE2018,C, 801,29,score
Compile-Time Silent-Store Elimination for Energy Efficiency: an Analytic Evaluation for Non-Volatile Cache Memory,2018,hal-01660686,RAPIDO: Rapid Simulation and Performance Evaluation,Information Visualization Evaluation,IVE,CORE2018,C, 801,29,score
Improved large-scale graph learning through ridge spectral sparsification,2018,hal-01810980,International Conference on Machine Learning,International Conference on Machine Learning,ICML,CORE2021,A,4611,0,score
Evaluating Multi-Tenant Live Migrations Effects on Performance,2018,hal-01870812,CoopIS 2018 - 26th International Conference on Cooperative Information Systems,International Conference on Cooperative Information Systems,CoopIS,CORE2021,B,4608,,token
Intensity-based matching and registration for 3D correlative microscopy with large discrepancies,2018,hal-01930740,ISBI 2018 - IEEE 15th International Symposium on Biomedical Imaging,IEEE International Symposium on Biomedical Imaging,,ERA2010,A, 903,16,score
Quasi-geostrophic flow under location uncertainty,2020,hal-02711026,Seminar of Stochastic Transport in Upper Ocean Dynamics (STUOD) project,"Symposium on Stochastic Algorithms, Foundations and Applications",SAGA,CORE2018,C, 802,46,score
Speculative Scheduling for Stochastic HPC Applications,2019,hal-02158598,ICPP 2019 - 48th International Conference on Parallel Processing,International Conference on Parallel Processing,ICPP,CORE2021,A,4606,,token
Improved Inner-product Encryption with Adaptive Security and Full Attribute-hiding,2018,hal-01900153,ASIACRYPT 2018 - 24th Annual International Conference on the Theory and Application of Cryptology and Information Security,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2021,A,4604,,token
Techniques d'ordonnancement pour les applications stochastiques sur plateformes HPC,2020,hal-02635733,"COMPAS 2020 - Conf\'erence francophone d'informatique en Parall\'elisme, Architecture et Syst\`eme",,,,,,,
A brief introduction to multichannel noise reduction with deep neural networks,2020,hal-02506387,SpiN 2020 - 12th Speech in Noise Workshop,IEEE Software Engineering Workshop,SEW,CORE2021,C,4612,24,score
Navigation in Human Flows : Planning with Adaptive Motion Grid,2018,hal-03196208,IROS Workshop CrowdNav,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,CORE2021,A,4602,,token
Oceanic fluid dynamics under location uncertainty Part.I : Towards a stochastic modeling for the Quasi-Geostrophic system,2018,hal-02710890,Seminar of Mutiple-Scale Ocean Model (MSOM) project,Asian Computing Science Conference,ASIAN,CORE2018,B,   8,34,score
Oceanic fluid dynamics under location uncertainty Part.I : Towards a stochastic modeling for the Quasi-Geostrophic system,2018,hal-02710890,Seminar of Mutiple-Scale Ocean Model (MSOM) project,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2021,B,4602,34,score
Oceanic fluid dynamics under location uncertainty Part.I : Towards a stochastic modeling for the Quasi-Geostrophic system,2018,hal-02710890,Seminar of Mutiple-Scale Ocean Model (MSOM) project,State of the Art of Stream Ciphers,SASC,CORE2018,C, 804,34,score
Regularized Dfa To Study The Gaze Position Of An Airline Pilot,2020,hal-02716136,EUSIPCO 2020 - 28th European Signal Processing Conference,European Signal Processing Conference,EUSIPCO,CORE2018,B,1006,,token
PASO: A Web-Based Parser for Solidity Language Analysis,2020,hal-03358032,2020 IEEE International Workshop on Blockchain Oriented Software Engineering (IWBOSE),International Workshop on Economics-Driven Software Engineering Research,EDSER,CORE2018,C, 803,32,score
PASO: A Web-Based Parser for Solidity Language Analysis,2020,hal-03358032,2020 IEEE International Workshop on Blockchain Oriented Software Engineering (IWBOSE),International Workshop on Modelling in Software Engineering,MISE,CORE2021,C,4612,32,score
Introduction d'informations s\'emantiques dans un syst\`eme de reconnaissance de la parole,2020,hal-02798559,"6e conf\'erence conjointe Journ\'ees d'\'Etudes sur la Parole (JEP, 33e \'edition), Traitement Automatique des Langues Naturelles (TALN, 27e \'edition), Rencontre des \'Etudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R\'ECITAL, 22e \'edition). Volume 1 : Journ\'ees d'\'Etudes sur la Parole",Traitement Automatique des Langues Naturelles,TALN,ERA2010,C, 802,,token
Construction de plongements de concepts m\'edicaux sans textes,2020,hal-02784766,"JEP/TALN/RECITAL 2020 - 6e conf\'erence conjointe Journ\'ees d'\'Etudes sur la Parole (JEP, 33e \'edition), Traitement Automatique des Langues Naturelles (TALN, 27e \'edition), Rencontre des \'Etudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R\'ECITAL, 22e \'edition). Volume 2 : Traitement Automatique des Langues Naturelles",Traitement Automatique des Langues Naturelles,TALN,ERA2010,C, 802,,token
\'Etude comparative des param\`etres d'entr\'ee pour la synth\`ese expressive audiovisuelle de la parole par DNNs,2020,hal-02798526,"6e conf\'erence conjointe Journ\'ees d'\'Etudes sur la Parole (JEP, 33e \'edition), Traitement Automatique des Langues Naturelles (TALN, 27e \'edition), Rencontre des \'Etudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R\'ECITAL, 22e \'edition). Volume 1 : Journ\'ees d'\'Etudes sur la Parole",Traitement Automatique des Langues Naturelles,TALN,ERA2010,C, 802,,token
Focus of Attention Improves Information Transfer in Visual Features,2020,hal-02878372,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2021,A,4611,,token
"VESPA, ou l'art de coordonner une flotte de drone sans leader",2020,hal-02796530,ALGOTEL 2020 -- 22\`emes Rencontres Francophones sur les Aspects Algorithmiques des T\'el\'ecommunications,,,,,,,
Can recurrent neural networks warp time?,2018,hal-01812064,International Conference on Learning Representation 2018,International Conference on Learning Representations,ICLR,CORE2021,A,4611,5,score
Nonlinear corrector for RANS equations,2018,hal-01962171,"2018 Fluid Dynamics Conference, AIAA AVIATION Forum",IFAC Conference on Automation,ICA,CORE2018,C,,29,score
Nonlinear corrector for RANS equations,2018,hal-01962171,"2018 Fluid Dynamics Conference, AIAA AVIATION Forum",Pacific Asia Conference on Information Systems,PACIS,CORE2018,A, 806,29,score
An efficient domain decomposition method with cross-point treatment for Helmholtz problems,2018,hal-01900309,XXXIX Ibero-Latin American Congress on Computational Methods in Engineering,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2021,C,4603,39,score
An efficient domain decomposition method with cross-point treatment for Helmholtz problems,2018,hal-01900309,XXXIX Ibero-Latin American Congress on Computational Methods in Engineering,IEEE World Congress on Computational Intelligence,WCCI,ERA2010,A,   9,39,score
An efficient domain decomposition method with cross-point treatment for Helmholtz problems,2018,hal-01900309,XXXIX Ibero-Latin American Congress on Computational Methods in Engineering,International Congress on Computational and Applied Mathematics,ICCAM,CORE2021,C,4613,39,score
Extra-Parametrized Extreme Value Copula : Extension to a Spatial Framework,2019,hal-03888257,Extreme Value Analysis,Extreme Markup Languages,Extreme,CORE2018,C, 803,,token
Potential for Discrimination in Online Targeted Advertising,2018,hal-01955343,"FAT 2018 - Conference on Fairness, Accountability, and Transparency","Annual Conference on Privacy, Security and Trust",PST,CORE2021,C,4604,35,score
Reproducible evaluation of Alzheimer's Disease classification from MRI and PET data,2018,hal-01761666,Annual meeting of the Organization for Human Brain Mapping - OHBM 2018,Annual Meeting of the Cognitive Science Society,CogSci,CORE2021,A,4602,38,score
Reproducible evaluation of Alzheimer's Disease classification from MRI and PET data,2018,hal-01761666,Annual meeting of the Organization for Human Brain Mapping - OHBM 2018,Annual Meeting of the Decision Sciences Institute,DSI,CORE2018,C, 806,38,score
A Fistful of Dollars: Formalizing Asymptotic Complexity Claims via Deductive Program Verification,2018,hal-01926485,ESOP 2018 - 27th European Symposium on Programming,European Symposium on Programming,ESOP,CORE2021,A,4612,,token
On Probabilistic Term Rewriting,2018,hal-01926502,"Functional and Logic Programming - 14th International Symposium, Proceedings",Automation and Robotics International Symposium,ISARC,ERA2010,B,  10,40,score
Trajectory Generation for Minimum Closed-Loop State Sensitivity,2018,hal-01716843,ICRA 2018 - IEEE International Conference on Robotics and Automation,IEEE International Conference on Robotics and Automation,ICRA,CORE2021,B needs review,4602,,token
Constant overhead quantum fault-tolerance with quantum expander codes,2018,hal-01895430,FOCS 2018 - 59th Annual IEEE Symposium on Foundations of Computer Science,IEEE Symposium on Foundations of Computer Science,FOCS,CORE2021,A,4613,,token
A Practical Algorithm for Multiplayer Bandits when Arm Means Vary Among Players,2020,hal-02006069,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,International Conference on Artificial Intelligence and Statistics,AISTATS,CORE2021,A,4611,,token
Demo: Inspect what your location history reveals about you Raising user awareness on privacy threats associated with disclosing his location data,2019,hal-02421828,CIKM 2019 - 28th ACM International Conference on Information and Knowledge Management,ACM International Conference on Information and Knowledge Management,CIKM,CORE2021,A,4605,,token
Analogies minus analogy test: measuring regularities in word embeddings,2020,hal-03070260,CoNLL 2020 - 24th Conference on Computational Natural Language Learning,Conference on Computational Natural Language Learning,CoNLL,CORE2021,A,4611,,token
Fibrillation Patterns Creep and Jump in a Detailed Three-Dimensional Model of the Human Atria,2019,hal-02153733,FIMH 2019 - 10th International Conference Functionnal Imaging and Modeling of the Heart,ACM International Conference on Information and Knowledge Management,CIKM,CORE2021,A,4605,43,score
Glimpse Clouds: Human Activity Recognition from Unstructured Feature Points,2018,hal-01713109,CVPR 2018 - Computer Vision and Pattern Recognition,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2021,A,4603,,token
Text to brain: predicting the spatial distribution of neuroimaging observations from text reports,2018,hal-01807295,MICCAI 2018 - 21st International Conference on Medical Image Computing and Computer Assisted Intervention,Medical Image Computing and Computer-Assisted Intervention,MICCAI,CORE2021,A,4601,,token
Normal form systems generated by single connectives have mutually equivalent efficiency,2018,hal-02499377,DICE 2018 - Developments in Implicit Computational Complexity,IEEE Conference on Computational Complexity,CCC,CORE2021,A,4613,27,score
Deriving proved equality tests in Coq-elpi: Stronger induction principles for containers in Coq,2019,hal-01897468,ITP 2019 - 10th International Conference on Interactive Theorem Proving,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,CORE2021,A,4613,,token
Successor-Invariant First-Order Logic on Classes of Bounded Degree,2020,hal-02882118,LICS 2020 - Thirty-Fifth Annual ACM/IEEE Symposium on Logic in Computer Science,IEEE Symposium on Logic in Computer Science,LICS,CORE2021,A,4613,,token
Automated Verification of Higher-Order Masking in Presence of Physical Defaults,2019,hal-02404662,ESORICS 2019 - 24th European Symposium on Research in Computer Security,European Symposium On Research In Computer Security,ESORICS,CORE2021,A,4604,,token
Formalizing Bachmair and Ganzinger's Ordered Resolution Prover,2018,hal-01904610,IJCAR 2018 - 9th International Joint Conference on Automated Reasoning,International Joint Conference on Automated Reasoning,IJCAR,CORE2021,A,4602,,token
A class of nonlinear adaptive observers for SIR epidemic model,2018,hal-01724989,ECC 2018 - European Control Conference,European Computing Conference,ECC,CORE2018,C,   8,,token
A class of nonlinear adaptive observers for SIR epidemic model,2018,hal-01724989,ECC 2018 - European Control Conference,Workshop on Elliptic Curve Cryptography,ECC,CORE2018,C, 804,,token
Bipartite Graphs of Small Readability,2018,hal-01935562,COCOON 2018 - The 24th International Computing and Combinatorics Conference,International Conference on Computing and Combinatorics,COCOON,CORE2021,NationalChina,4613,,token
Identification of Driver Nodes in Genetic Networks Regulating Macrophage Activation,2018,hal-01967797,Conference on Complex Systems - CSS,Asia-Pacific Conference on Complex Systems,Complex,CORE2018,C, 801,17,score
Identification of Driver Nodes in Genetic Networks Regulating Macrophage Activation,2018,hal-01967797,Conference on Complex Systems - CSS,Conference on RFID Security,RFIDSec,CORE2018,C, 803,17,score
Curiosity Driven Exploration of Learned Disentangled Goal Spaces,2018,hal-01891598,CoRL 2018 - Conference on Robot Learning,Asian Conference on Machine Learning,ACML,CORE2021,Unranked,4611,17,score
Estimating the Impact of Architectural and Software Design Choices on Dynamic Allocation of Heterogeneous Memories,2018,hal-01891599,RSP 2018 -  29th International Symposium on Rapid System Prototyping,IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,CORE2021,C,4612,,token
A Probabilistic Theory of Supervised Similarity Learning for Pointwise ROC Curve Optimization,2018,hal-01922988,International Conference on Machine Learning (ICML 2018),International Conference on Machine Learning,ICML,CORE2021,A,4611,,token
The Influence of Canyon Shadowing on Device-to-Device Connectivity in Urban Scenario,2019,hal-01891024,WCNC 2019 - IEEE Wireless Communications and Networking Conference,IEEE Wireless Communications and Networking Conference,WCNC,CORE2021,B,4606,,token
Defining argumentation attacks in practice: an experiment in food packaging consumer expectations,2018,lirmm-01892545,23rd International Conference on Conceptual Structures (ICCS 2018),International Conference on Computational Science,ICCS,CORE2021,A,4601,,token
Defining argumentation attacks in practice: an experiment in food packaging consumer expectations,2018,lirmm-01892545,23rd International Conference on Conceptual Structures (ICCS 2018),International Conference on Conceptual Structures,ICCS,CORE2021,B,4613,,token
Multiple-input neural network-based residual echo suppression,2018,hal-01723630,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing","IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2018,B,,,token
Dialogues on Moral Theories,2018,hal-01926271,"Deontic Logic and Normative Systems - 14th International Conference, DEON 2018","Geometric Modelling and Imaging, International Conference (IEEE)",GMAI,ERA2010,B,1203,40,score
Chut ! On nous \'ecoute,2018,hal-01955267,Semaine des Maths 2018,Design Automation Conf,DAC,CORE2018,A,,16,score
Chut ! On nous \'ecoute,2018,hal-01955267,Semaine des Maths 2018,Web and Big Data,APWEB,CORE2021,B,4605,16,score
Chut ! On nous \'ecoute,2018,hal-01955267,Semaine des Maths 2018,Wireless Days,WD,CORE2021,C,4606,16,score
A new approach for a physicochemical characterization of nanoparticles in complex media: a pilot study,2018,hal-01925854,"NanoMedicine International Conference, NanoMedicine 2018",IADIS International Conference Applied Computing,IADIS AC,CORE2021,C,4601,23,score
Late Fusion of Multiple Convolutional Layers for Pedestrian Detection,2018,hal-01926073,15th IEEE International Conference on Advanced Video and Signal-based Surveillance,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,CORE2021,B,4603,5,score
Validation of a sequential data assimilation method applied to cardiac electrophysiology,2018,hal-01955627,Virtual Physiological Human conference,Industrial Simulation Conference,ISC,CORE2021,C,4602,20,score
Validation of a sequential data assimilation method applied to cardiac electrophysiology,2018,hal-01955627,Virtual Physiological Human conference,International Python Conference,IPythC,CORE2018,C, 803,20,score
Validation of a sequential data assimilation method applied to cardiac electrophysiology,2018,hal-01955627,Virtual Physiological Human conference,International Web Conference,IWC,CORE2018,C, 806,20,score
Validation of a sequential data assimilation method applied to cardiac electrophysiology,2018,hal-01955627,Virtual Physiological Human conference,Winter Simulation Conference,WSC,CORE2021,B,4602,20,score
A Domain-specific Language for Autonomic Managers in FPGA Reconfigurable Architectures,2018,hal-01868675,ICAC 2018 - 15th IEEE International Conference on Autonomic Computing,IEEE International Conference on Autonomic Computing,ICAC,CORE2021,B,4606,,token
